546, 0, 0
546, 0, 0
549, 0, 0
547, 0, 0
546, 0, 0
547, 0, 0
569, 0, 0
547, 1, 0
547, 2, 0
548, 3, 0
570, 4, 0
648, 5, 0
607, 6, 0
618, 7, 0
568, 8, 0
560, 9, 0
587, 10, 0
550, 11, 0
518, 12, 0
516, 13, 0
531, 14, 0
390, 16, 0
391, 17, 0
396, 18, 0
248, 19, 0
251, 20, 0
248, 21, 0
203, 22, 0
201, 23, 0
201, 24, 0
44, 26, 0
32, 27, 0
56, 28, 0
43, 29, 0
101, 30, 0
80, 31, 0
80, 32, 0
55, 33, 0
47, 34, 0
64, 35, 0
3, 36, 0
4, 37, 0
3, 38, 0
0, 39, 0
2, 40, 0
11, 41, 0
3, 42, 0
3, 43, 0
4, 44, 0
3, 45, 0
4, 45, 0
2, 46, 0
3, 47, 0
13, 48, 0
4, 49, 0
2, 50, 0
16, 51, 0
3, 52, 0
23, 53, 0
0, 54, 0
2, 55, 0
5, 56, 0
80, 57, 0
80, 58, 0
83, 59, 0
80, 60, 0
146, 61, 0
146, 62, 0
150, 63, 0
233, 64, 0
279, 66, 0
234, 67, 0
303, 68, 0
303, 69, 0
303, 70, 0
364, 71, 0
362, 72, 0
363, 73, 0
425, 75, 0
438, 76, 0
427, 77, 0
427, 78, 0
469, 79, 0
491, 80, 0
467, 81, 0
505, 82, 0
575, 83, 0
526, 85, 0
530, 86, 0
529, 87, 0
531, 88, 0
562, 89, 0
560, 90, 0
560, 89, 0
568, 87, 0
568, 86, 0
568, 85, 0
568, 84, 0
567, 83, 0
726, 82, 0
558, 81, 0
572, 80, 0
634, 79, 0
571, 77, 0
568, 76, 0
569, 75, 0
586, 74, 0
554, 73, 0
554, 72, 0
556, 71, 0
541, 70, 0
518, 68, 0
519, 67, 0
493, 66, 0
493, 65, 0
598, 64, 0
468, 63, 0
491, 62, 0
472, 61, 0
416, 59, 0
417, 58, 0
432, 57, 0
416, 56, 0
446, 55, 0
358, 54, 0
352, 53, 0
291, 52, 0
291, 50, 0
295, 49, 0
233, 48, 0
232, 47, 0
303, 46, 0
201, 45, 0
181, 44, 0
181, 43, 0
117, 41, 0
121, 40, 0
116, 39, 0
23, 38, 0
58, 37, 0
23, 36, 0
23, 35, 0
6, 34, 0
2, 33, 0
3, 32, 0
2, 31, 0
3, 30, 0
4, 29, 0
2, 28, 0
2, 27, 0
19, 26, 0
3, 25, 0
8, 25, 0
0, 24, 0
32, 23, 0
4, 22, 0
3, 21, 0
3, 20, 0
11, 19, 0
2, 18, 0
3, 17, 0
4, 16, 0
2, 15, 0
4, 14, 0
